Comment,Designator,Footprint,LCSC,Quantity
100nF,C3,C_1206_3216Metric,C24497,1
100uF,C11,CP_Elec_6.3x5.4,C2887276,1
10k,"R2,R3",R_0805_2012Metric,C17414,2
10uF,"C2,C4,C6",C_1206_3216Metric,C13585,3
1uF,C5,C_1206_3216Metric,C1848,1
330,R4,R_0805_2012Metric,C17630,1
5.1k,"R1,R5",R_0805_2012Metric,C27834,2
AP7361C-33E,U1,SOT-223-3_TabPin2,C500795,1
ESP32-C3-WROOM-02,U2,ESP32-C3-WROOM-02,C2934560,1
FerriteBead_Small,FB1,L_0603_1608Metric,C14709,1
IO9_BOOT,SW3,SW_SPST_TS-1088-xR020,C720477,1
Led ring,J4,JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal,C157929,1
RST,SW4,SW_SPST_TS-1088-xR020,C720477,1
USB_C_Receptacle_USB2.0_16P,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948,1
