Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,47uF,C_1206_3216Metric,134.0,-75.0,90.0,top
C10,47uF,C_1206_3216Metric,144.0,-77.0,-90.0,top
C2,10uF,C_1206_3216Metric,153.0,-79.5,180.0,top
C3,100nF,C_1206_3216Metric,159.0,-97.0,180.0,top
C4,10uF,C_1206_3216Metric,146.5,-77.0,90.0,top
C5,1uF,C_1206_3216Metric,158.0,-91.0,0.0,top
C6,10uF,C_1206_3216Metric,159.0,-94.5,0.0,top
C7,47uF,C_1206_3216Metric,139.0,-75.0,90.0,top
C8,47uF,C_1206_3216Metric,136.5,-75.0,90.0,top
C9,47uF,C_1206_3216Metric,131.5,-75.025,90.0,top
J1,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,123.51,-81.18,270.0,top
J4,Led ring,JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal,143.0,-69.5,180.0,top
R1,5.1k,R_0805_2012Metric,126.5,-73.5,180.0,top
R2,10k,R_0805_2012Metric,161.5,-87.5,-90.0,top
R3,10k,R_0805_2012Metric,157.5,-75.5,-90.0,top
R4,330,R_0805_2012Metric,136.5,-69.0,-90.0,top
R5,5.1k,R_0805_2012Metric,126.0,-89.0,180.0,top
SW3,IO9_BOOT,SW_SPST_TS-1088-xR020,161.5,-81.775,-90.0,top
SW4,RST,SW_SPST_TS-1088-xR020,158.0,-70.0,-90.0,top
U1,AP7361C-33E,SOT-223-3_TabPin2,151.7,-72.35,270.0,top
U2,ESP32-C3-WROOM-02,ESP32-C3-WROOM-02,144.56,-91.5,180.0,top
